# Position, Conc, Conc_std
-1.100000000000012079e-01,4.654669442541000679e-01,1.503331836498585788e-02
-1.200000000000012168e-01,4.747701336352480039e-01,1.408151625327392145e-02
-1.300000000000012257e-01,4.849633476989096970e-01,1.394249622014976861e-02
-1.400000000000012346e-01,4.924587522658283589e-01,1.145070204476511533e-02
-1.500000000000012434e-01,5.042726273651916280e-01,1.310135194808700540e-02
-1.600000000000012523e-01,5.135691749932707051e-01,1.477575803971421450e-02
-1.700000000000012612e-01,5.218286668639677828e-01,1.304554181041019112e-02
-1.800000000000012701e-01,5.300726153545511909e-01,1.261807149258655641e-02
-1.900000000000012790e-01,5.379113385557737770e-01,1.118819010931776207e-02
-2.000000000000012879e-01,5.459227572211877710e-01,1.030551376945316490e-02
-2.100000000000012967e-01,5.526702213101757355e-01,9.271804281685287752e-03
-2.200000000000013056e-01,5.604571613203189751e-01,8.274271602047524390e-03
-2.300000000000013145e-01,5.677662638215388302e-01,7.612125365075391760e-03
-2.400000000000013234e-01,5.736161476581308483e-01,7.733967621257585752e-03
-2.500000000000013323e-01,5.802098556310443245e-01,7.677534559921151726e-03
-2.600000000000013411e-01,5.848568912457977609e-01,6.690442229080573525e-03
-2.700000000000013500e-01,5.900247456785955302e-01,7.247671935626692243e-03
-2.800000000000013589e-01,5.958401566137100369e-01,6.998876585629488709e-03
-2.900000000000013678e-01,5.993891698424067549e-01,5.841220501608275148e-03
-3.000000000000013767e-01,6.033306300524539090e-01,5.575938051797452513e-03
-3.100000000000013856e-01,6.083553946017287162e-01,5.648913523239222113e-03
-3.200000000000013944e-01,6.134222109092095643e-01,6.820424536476859742e-03
-3.300000000000014033e-01,6.163217668909594105e-01,5.998063089681391312e-03
-3.400000000000014122e-01,6.201993096442193210e-01,5.157698445656863466e-03
-3.500000000000014211e-01,6.241055742910480708e-01,5.171901432674843452e-03
-3.600000000000014300e-01,6.274221549321069569e-01,4.657896828851217606e-03
-3.700000000000014388e-01,6.307120265099782630e-01,4.973848212084603683e-03
-3.800000000000014477e-01,6.341795119486286492e-01,4.393865118048388176e-03
-3.900000000000014566e-01,6.366395098414910914e-01,3.813741691149467351e-03
-4.000000000000014655e-01,6.405944483733798656e-01,4.207063577573897165e-03
-4.100000000000014744e-01,6.431778294577120691e-01,3.977944339910594214e-03
-4.200000000000014833e-01,6.462685444994841211e-01,4.535425760418264861e-03
-4.300000000000014921e-01,6.488247676855188883e-01,4.477006327157356282e-03
-4.400000000000015010e-01,6.518900608769946370e-01,4.486500151794855368e-03
-4.500000000000015099e-01,6.545692561549790733e-01,3.982160221987023595e-03
-4.600000000000015188e-01,6.572180053355251017e-01,3.831576995029482586e-03
-4.700000000000015277e-01,6.601707204104563242e-01,4.017110581395459505e-03
-4.800000000000015365e-01,6.624564550316712763e-01,3.428747777260618065e-03
-4.900000000000015454e-01,6.656039249371089594e-01,3.932437633589232727e-03
-5.000000000000015543e-01,6.678817237313144917e-01,3.091505303172791593e-03
-5.100000000000015632e-01,6.713201094866148022e-01,3.360596331133010751e-03
-5.200000000000015721e-01,6.733049556001935443e-01,3.469605078560287787e-03
-5.300000000000015810e-01,6.755282168459803005e-01,3.280268503312235018e-03
-5.400000000000015898e-01,6.783139076649428167e-01,3.776821621388405659e-03
-5.500000000000015987e-01,6.804105479032924730e-01,2.589789958486546535e-03
-5.600000000000016076e-01,6.831224339973002158e-01,2.966890214781739941e-03
-5.700000000000016165e-01,6.855220558875730896e-01,2.890152879158966546e-03
-5.800000000000016254e-01,6.881919531808732282e-01,3.482621949742263114e-03
-5.900000000000016342e-01,6.906805626840051282e-01,2.954616149429889222e-03
-6.000000000000016431e-01,6.931797677593950491e-01,2.621748942124895159e-03
-6.100000000000016520e-01,6.958976205201219400e-01,3.109925774948102146e-03
-6.200000000000016609e-01,6.979566797346586915e-01,2.721568620934765141e-03
-6.300000000000016698e-01,6.993778702155682980e-01,2.329496487188736746e-03
-6.400000000000016787e-01,7.012601939972334941e-01,2.306259530257306553e-03
-6.500000000000016875e-01,7.031123063300531717e-01,2.410145424915204840e-03
-6.600000000000016964e-01,7.055180145678221493e-01,3.012522662496996614e-03
-6.700000000000017053e-01,7.076457888116922668e-01,2.807163357365203941e-03
-6.800000000000017142e-01,7.094296496852362521e-01,2.617804619489061228e-03
-6.900000000000017231e-01,7.112631753407958612e-01,2.424643411629189265e-03
-7.000000000000017319e-01,7.130852836730102728e-01,2.590541561517468398e-03
-7.100000000000017408e-01,7.144552977496664292e-01,2.091465213955658129e-03
-7.200000000000017497e-01,7.165704530739157585e-01,2.218732708276426394e-03
-7.300000000000017586e-01,7.186213483044641137e-01,2.139754170198461883e-03
-7.400000000000017675e-01,7.204620125676249875e-01,1.838306107470227217e-03
-7.500000000000017764e-01,7.220064738993612341e-01,2.329221768077080479e-03
-7.600000000000017852e-01,7.235938871024660823e-01,2.190795891293685713e-03
-7.700000000000017941e-01,7.251892007066507162e-01,2.253350095930107492e-03
-7.800000000000018030e-01,7.266449699806873941e-01,2.503556029192085478e-03
-7.900000000000018119e-01,7.286176335343379495e-01,2.301942154615392068e-03
-8.000000000000018208e-01,7.304520135991194874e-01,2.377908611966183649e-03
-8.100000000000016076e-01,7.319319016540507539e-01,2.001878080795616629e-03
-8.200000000000018385e-01,7.331109863334577259e-01,1.472521101777862903e-03
-8.300000000000020695e-01,7.342389638527692108e-01,1.632347650777868364e-03
-8.400000000000018563e-01,7.352602742929164048e-01,1.401938886318688507e-03
-8.500000000000016431e-01,7.364554206435774963e-01,1.500209340569012839e-03
-8.600000000000018741e-01,7.375603507559311822e-01,1.576029587958881076e-03
-8.700000000000021050e-01,7.387301710992066894e-01,1.601858213194673345e-03
-8.800000000000018918e-01,7.403614171133870991e-01,1.954987512604088127e-03
-8.900000000000016787e-01,7.415579109193783935e-01,1.814437758561682126e-03
-9.000000000000019096e-01,7.425806593837503966e-01,1.681512578973209677e-03
-9.100000000000021405e-01,7.438193879631345151e-01,1.846339202317884027e-03
-9.200000000000019273e-01,7.453168736347224321e-01,1.761314015272383770e-03
-9.300000000000017142e-01,7.463445130373647096e-01,1.503787942331743155e-03
-9.400000000000019451e-01,7.472190031700907120e-01,1.514136183705597953e-03
-9.500000000000021760e-01,7.488420004497317040e-01,1.469733135559147651e-03
-9.600000000000019629e-01,7.498514058545865391e-01,1.385429435868873634e-03
-9.700000000000017497e-01,7.508801311642012699e-01,1.386105449932290533e-03
-9.800000000000019806e-01,7.519539222104767440e-01,1.539327605462327466e-03
-9.900000000000022116e-01,7.528694417770838143e-01,1.594007770938876472e-03
-1.000000000000001998e+00,7.535572144556105245e-01,1.605988172046680105e-03
-1.010000000000001785e+00,7.544049399974636083e-01,1.676956778903564323e-03
-1.020000000000002016e+00,7.551077303023603360e-01,1.869441125335450683e-03
-1.030000000000002247e+00,7.557266135529687734e-01,1.625561534109116937e-03
-1.040000000000002034e+00,7.566426421253255041e-01,1.774926283062985832e-03
-1.050000000000001821e+00,7.574841778009351323e-01,1.737854334197344326e-03
-1.060000000000002052e+00,7.581969274283512084e-01,1.667321868300874598e-03
-1.070000000000002283e+00,7.587890836035013908e-01,1.541395267597443644e-03
-1.080000000000002069e+00,7.593758099086589386e-01,1.567567763137039201e-03
-1.090000000000001856e+00,7.600122927318472277e-01,1.552493587452656891e-03
-1.100000000000002087e+00,7.611594960904594087e-01,1.683914225474749012e-03
-1.110000000000002318e+00,7.616537560780802796e-01,1.655304392339163565e-03
-1.120000000000002105e+00,7.622488198056771580e-01,1.492855390987607705e-03
-1.130000000000001892e+00,7.628053392540111721e-01,1.284594310501042643e-03
-1.140000000000002123e+00,7.633627440931876063e-01,1.277170292376742173e-03
-1.150000000000002354e+00,7.640378597932460103e-01,1.297630893993821600e-03
-1.160000000000002141e+00,7.647484186202725409e-01,1.069270689729031254e-03
-1.170000000000001927e+00,7.652934341497034110e-01,9.932918945299617011e-04
-1.180000000000002158e+00,7.660839157271482902e-01,1.119213253707633440e-03
-1.190000000000002389e+00,7.667293703071389466e-01,9.698633143900206978e-04
-1.200000000000002176e+00,7.677915322670907372e-01,1.080631085156656115e-03
-1.210000000000001963e+00,7.686985351547719336e-01,1.111138225871048874e-03
-1.220000000000002194e+00,7.695158158175848806e-01,1.068199992153069698e-03
-1.230000000000002425e+00,7.704355893664786015e-01,1.013746323132122019e-03
-1.240000000000002212e+00,7.715405661611162147e-01,1.205306639900697706e-03
-1.250000000000001998e+00,7.724302333749852867e-01,1.026531206794623324e-03
-1.260000000000002229e+00,7.728358972926612225e-01,9.662736055415962729e-04
-1.270000000000002460e+00,7.732218061210130999e-01,9.138601434320138333e-04
-1.280000000000002247e+00,7.739304758111849036e-01,1.016825626920084486e-03
-1.290000000000002034e+00,7.747135475816656625e-01,1.160949734239629695e-03
-1.300000000000002265e+00,7.755377099399587415e-01,1.162355828098240703e-03
